{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;SOLAR
7441;9.86E-05;1.14E-04;6.77E-06;0.000114155;0;0.004324676;0;0.314316905;0.178443012;0
7442;9.40E-05;1.14E-04;3.75E-06;0.000114155;0;0.005766234;0;0.261453812;0.178443012;0
7443;9.01E-05;1.14E-04;2.38E-06;0.000114155;0;0.007207793;0;0.240745576;0.179458816;0
7444;8.93E-05;1.14E-04;8.30E-06;0.000114155;0;0.005766234;0;0.235501557;0.178781613;0
7445;8.91E-05;1.14E-04;2.49E-05;0.000114155;0;0.005766234;0;0.222264639;0.216027784;0
7446;9.06E-05;1.14E-04;6.93E-05;0.000114155;0.012311312;0.005766234;0;0.247216019;0.215011979;0
7447;8.62E-05;1.14E-04;0.000143;0.000114155;0.211459101;0.002883117;0;0.201443628;0.215689182;0.167138376
7448;8.89E-05;1.14E-04;0.00019;0.000114155;0.436;0.015857144;0;0.254870595;0.254289758;0.376972384
7449;9.49E-05;1.14E-04;0.000168;0.000114155;0.63995843;0.040363639;0;0.28175324;0.254628358;0.570194327
7450;0.000099;1.14E-04;0.000165;0.000114155;0.803674262;0.074961044;0;0.314387389;0.254628358;0.727344125
7451;0.000102;1.14E-04;0.000179;0.000114155;0.913343432;0.131181828;0;0.328568796;0.143567054;0.832909525
7452;0.000102;1.14E-04;0.000196;0.000114155;0.538390104;0.198935079;0;0.334263912;0.220091003;0.066456464
7453;0.000102;0.000114155;0.000195;0.000114155;0.744333736;0.263805214;0;0.294764609;0.221445409;0.31261705
7454;0.000102;0.000114155;0.000185;0.000114155;0.854396869;0.311376646;0;0.303589222;0.184199239;0.776425224
