param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
SAMI	RES_SOLAR	Infinity	Infinity	0.0	0.0
SAMI	RES_HYDRO	Infinity	Infinity	0.0	0.0
SAMI	RES_GEO	Infinity	Infinity	0.0	0.0
SAMI	CO2_ATM	Infinity	Infinity	0.0	0.0
SAMI	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SAMI	CO2_CAPTURED	0.0	0.0	0.0	0.0
SAMI	LPG	0.0	Infinity	0.28360908	0.021578745
SANA	WOOD	5445.0	0.0	0.0118	0.016980597
SANA	WET_BIOMASS	96.66918521	0.0	0.0118	0.010318121
SANA	WASTE	0.0	0.0	0.1501	0.021187834
SANA	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SANA	GASOLINE	0.0	Infinity	0.3448	0.124118331
SANA	DIESEL	0.0	Infinity	0.3148	0.111311495
SANA	BIOETHANOL	0.0	0.0	0.0	0.122502774
SANA	BIODIESEL	0.0	0.0	0.0	0.131394244
SANA	LFO	0.0	Infinity	0.3115	0.085115655
SANA	GAS	477.4322454	0.0	0.2666	0.010662519
SANA	GAS_RE	0.0	0.0	0.0	0.132345636
SANA	COAL	0.0	0.0	0.4014	0.015545445
SANA	URANIUM	0.0	0.0	0.0039	0.003876456
SANA	H2	0.0	0.0	0.414044616	0.077642645
SANA	H2_RE	0.0	0.0	0.0	0.137854413
SANA	AMMONIA	0.0	0.0	0.285	0.071991938
SANA	METHANOL	0.0	0.0	0.35	0.081184572
SANA	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SANA	METHANOL_RE	0.0	0.0	0.0	0.122502774
SANA	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SANA	RES_WIND	Infinity	Infinity	0.0	0.0
SANA	RES_SOLAR	Infinity	Infinity	0.0	0.0
SANA	RES_HYDRO	Infinity	Infinity	0.0	0.0
SANA	RES_GEO	Infinity	Infinity	0.0	0.0
SANA	CO2_ATM	Infinity	Infinity	0.0	0.0
SANA	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SANA	CO2_CAPTURED	0.0	0.0	0.0	0.0
SANA	LPG	0.0	Infinity	0.28360908	0.021578745
SASI	WOOD	72900.0	0.0	0.0118	0.016980597
SASI	WET_BIOMASS	21141.14981	0.0	0.0118	0.010318121
SASI	WASTE	0.0	0.0	0.1501	0.021187834
SASI	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SASI	GASOLINE	0.0	Infinity	0.3448	0.124118331
SASI	DIESEL	0.0	Infinity	0.3148	0.111311495
SASI	BIOETHANOL	0.0	0.0	0.0	0.122502774
SASI	BIODIESEL	0.0	0.0	0.0	0.131394244
SASI	LFO	0.0	Infinity	0.3115	0.085115655
SASI	GAS	477.4322454	0.0	0.2666	0.010662519
SASI	GAS_RE	0.0	0.0	0.0	0.132345636
SASI	COAL	0.0	0.0	0.4014	0.015545445
